date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2/15/2020,USA,15,0,12,0,
2/16/2020,USA,15,0,12,0,
2/17/2020,USA,15,0,12,0,
2/18/2020,USA,15,0,12,0,
2/19/2020,USA,15,0,12,0,
2/20/2020,USA,15,0,10,0,0
2/21/2020,USA,35,20,29,0,0
2/22/2020,USA,35,0,29,0,0
2/23/2020,USA,35,0,28,0,0
2/24/2020,USA,53,18,48,0,0
2/25/2020,USA,57,4,51,0,0
2/26/2020,USA,60,3,54,0,0
2/27/2020,USA,60,0,54,0,0
2/28/2020,USA,63,3,57,0,0
2/29/2020,USA,68,5,60,1,1
3/1/2020,USA,75,7,65,1,0
3/2/2020,USA,100,25,85,6,5
3/3/2020,USA,124,24,106,9,3
3/4/2020,USA,158,34,138,11,2
3/5/2020,USA,221,63,200,12,1
3/6/2020,USA,319,98,289,15,3
3/7/2020,USA,435,116,401,19,4
3/8/2020,USA,541,106,504,22,3
3/9/2020,USA,704,163,663,26,4
3/10/2020,USA,994,290,949,30,4
3/11/2020,USA,1301,307,1248,38,8
3/12/2020,USA,2439,1138,2374,56,18
3/13/2020,USA,3167,728,3096,61,5
3/14/2020,USA,3991,824,3871,70,9
3/15/2020,USA,5030,1039,4880,89,19
3/16/2020,USA,6368,1338,6179,113,24
3/17/2020,USA,8839,2471,8588,143,30
3/18/2020,USA,12589,3750,12289,190,47
3/19/2020,USA,17911,5322,17553,246,56
3/20/2020,USA,24442,6531,23958,323,77
3/21/2020,USA,30298,5856,29704,388,65
3/22/2020,USA,40464,10166,39664,556,168
3/23/2020,USA,52113,11649,50994,732,176
3/24/2020,USA,64987,12874,63470,995,263
3/25/2020,USA,79869,14882,77969,1306,311
3/26/2020,USA,98604,18735,94771,1680,374
3/27/2020,USA,118911,20307,113792,2212,532
3/28/2020,USA,139035,20124,131194,2854,642
3/29/2020,USA,159811,20776,148127,3412,558
3/30/2020,USA,183896,24085,169424,4257,845
3/31/2020,USA,210655,26759,188945,5332,1075
4/1/2020,USA,238519,27864,210415,6628,1296
4/2/2020,USA,267478,28959,232718,7826,1198
4/3/2020,USA,301369,33891,258572,9142,1316
4/4/2020,USA,334850,33481,284186,10772,1630
4/5/2020,USA,361760,26910,301256,12273,1501
4/6/2020,USA,393405,31645,324200,13835,1562
4/7/2020,USA,427582,34177,348765,16008,2173
4/8/2020,USA,460536,32954,372548,18270,2262
4/9/2020,USA,494812,34276,395459,20458,2188
4/10/2020,USA,529086,34274,419287,22715,2257
4/11/2020,USA,559675,30589,436132,24862,2147
4/12/2020,USA,585955,26280,448835,26739,1877
4/13/2020,USA,613529,27574,460358,28549,1810
4/14/2020,USA,643322,29793,477578,31051,2502
4/15/2020,USA,675494,32172,495492,33761,2710
4/16/2020,USA,706568,31074,504834,36043,2282
4/17/2020,USA,740519,33951,525434,38678,2635
4/18/2020,USA,770098,29579,534629,40608,1930
4/19/2020,USA,796153,26055,544433,42287,1679
4/20/2020,USA,824766,28613,560418,44289,2002
4/21/2020,USA,852435,27669,572412,46988,2699
4/22/2020,USA,884389,31954,593263,49443,2455
4/23/2020,USA,918933,34544,614700,51844,2401
4/24/2020,USA,953815,34882,613178,53856,2012
4/25/2020,USA,989351,35536,629695,56202,2346
4/26/2020,USA,1016809,27458,645167,57552,1350
4/27/2020,USA,1041228,24419,655222,59140,1588
4/28/2020,USA,1068195,26967,670417,61517,2377
4/29/2020,USA,1098546,30351,687676,63784,2267
4/30/2020,USA,1130109,31563,704744,66022,2238
5/1/2020,USA,1165557,35448,721717,67960,1938
5/2/2020,USA,1194424,28867,728181,69764,1804
5/3/2020,USA,1220640,26216,737948,71069,1305
5/4/2020,USA,1245418,24778,738539,72537,1468
5/5/2020,USA,1271437,26019,744623,74606,2069
5/6/2020,USA,1297498,26061,750391,77103,2497
5/7/2020,USA,1327420,29922,766698,79109,2006
5/8/2020,USA,1356624,29204,778286,80764,1655
5/9/2020,USA,1382064,25440,779118,82297,1533
5/10/2020,USA,1402553,20489,785204,83681,1384
5/11/2020,USA,1421204,18651,790843,84845,1164
5/12/2020,USA,1445779,24575,780825,86700,1855
5/13/2020,USA,1469083,23304,777853,88388,1688
5/14/2020,USA,1496296,27213,791990,90069,1681
5/15/2020,USA,1524534,28238,802134,91606,1537
5/16/2020,USA,1548713,24179,811313,92879,1273
5/17/2020,USA,1569263,20550,818231,93894,1015
5/18/2020,USA,1592303,23040,824728,94920,1026
5/19/2020,USA,1614936,22633,830648,96462,1542
5/20/2020,USA,1638502,23566,836550,97839,1377
5/21/2020,USA,1666571,28069,843108,99257,1418
5/22/2020,USA,1692227,25656,804337,100547,1290
5/23/2020,USA,1714708,22481,809971,101577,1030
5/24/2020,USA,1734194,19486,812481,102335,758
5/25/2020,USA,1752814,18620,809661,103075,740
5/26/2020,USA,1771855,19041,802301,103938,863
5/27/2020,USA,1793216,21361,799233,105345,1407
5/28/2020,USA,1817550,24334,799738,106506,1161
5/29/2020,USA,1843892,26342,803372,107676,1170
5/30/2020,USA,1868142,24250,805796,108648,972
5/31/2020,USA,1889042,20900,751109,109394,746
6/1/2020,USA,1907372,18330,746905,110121,727
6/2/2020,USA,1931037,23665,727488,111217,1096
6/3/2020,USA,1952793,21756,697769,112272,1055
6/4/2020,USA,1976190,23397,693119,113234,962
6/5/2020,USA,2001811,25621,696266,114138,904
6/6/2020,USA,2025156,23345,699861,114855,717
6/7/2020,USA,2044733,19577,700059,115329,474
6/8/2020,USA,2063405,18672,697312,116025,696
6/9/2020,USA,2083497,20092,694136,116967,942
6/10/2020,USA,2106026,22529,684487,117915,948
6/11/2020,USA,2130298,24272,690145,118757,842
6/12/2020,USA,2157496,27198,682664,119513,756
6/13/2020,USA,2183504,26008,688152,120229,716
6/14/2020,USA,2203514,20010,685650,120631,402
6/15/2020,USA,2224045,20531,681183,121116,485
6/16/2020,USA,2251850,27805,688286,121916,800
6/17/2020,USA,2280164,28314,687049,122731,815
6/18/2020,USA,2310069,29905,698587,123448,717
6/19/2020,USA,2345597,35528,697841,124160,712
6/20/2020,USA,2381036,35439,712313,124714,554
6/21/2020,USA,2408769,27733,724012,125045,331
6/22/2020,USA,2441026,32257,730654,125494,449
6/23/2020,USA,2479034,38008,743915,126325,831
6/24/2020,USA,2520139,41105,755917,127142,817
6/25/2020,USA,2562602,42463,780091,127769,627
6/26/2020,USA,2611603,49001,806000,128439,670
6/27/2020,USA,2658576,46973,833011,128991,552
6/28/2020,USA,2700624,42048,856403,129359,368
6/29/2020,USA,2743487,42863,871461,129792,433
6/30/2020,USA,2794895,51408,893783,130479,687
7/1/2020,USA,2849948,55053,925943,131141,662
7/2/2020,USA,2911040,61092,960633,131801,660
7/3/2020,USA,2973187,62147,998953,132434,633
7/4/2020,USA,3026119,52932,1030857,132834,400
7/5/2020,USA,3071909,45790,1058463,133242,408
7/6/2020,USA,3124303,52394,1077551,133733,491
7/7/2020,USA,3184849,60546,1112048,134757,1024
7/8/2020,USA,3251100,66251,1152292,135710,953
7/9/2020,USA,3316641,65541,1188358,136709,999
7/10/2020,USA,3391259,74618,1235076,137609,900
7/11/2020,USA,3456909,65650,1276203,138346,737
7/12/2020,USA,3516886,59977,1313937,138902,556
7/13/2020,USA,3580775,63889,1350694,139511,609
7/14/2020,USA,3651845,71070,1380000,140510,999
7/15/2020,USA,3727403,75558,1418741,141538,1028
7/16/2020,USA,3803236,75833,1464239,142560,1022
7/17/2020,USA,3880833,77597,1487144,143597,1037
7/18/2020,USA,3948314,67481,1524151,144514,917
7/19/2020,USA,4011955,63641,1566504,145091,577
7/20/2020,USA,4072624,60669,1582618,145821,730
7/21/2020,USA,4144350,71726,1619401,147093,1272
7/22/2020,USA,4219424,75074,1643413,148380,1287
7/23/2020,USA,4291486,72062,1676202,149571,1191
7/24/2020,USA,4371648,80162,1707057,150870,1299
7/25/2020,USA,4444394,72746,1743445,151932,1062
7/26/2020,USA,4499206,54812,1767909,152797,865
7/27/2020,USA,4557968,58762,1782611,153763,966
7/28/2020,USA,4627837,69869,1802585,155178,1415
7/29/2020,USA,4697239,69402,1824791,156593,1415
7/30/2020,USA,4767468,70229,1848682,157991,1398
7/31/2020,USA,4841530,74062,1876645,159390,1399
8/1/2020,USA,4903731,62201,1899019,160513,1123
8/2/2020,USA,4952300,48569,1924923,161210,697
8/3/2020,USA,5000380,48080,1904265,162027,817
8/4/2020,USA,5057958,57578,1921989,163388,1361
8/5/2020,USA,5116017,58059,1925807,164760,1372
8/6/2020,USA,5176175,60158,1942206,166087,1327
8/7/2020,USA,5241230,65055,1957964,167470,1383
8/8/2020,USA,5300828,59598,1983520,168535,1065
8/9/2020,USA,5348457,47629,2003307,169251,716
8/10/2020,USA,5396740,48283,1995230,169953,702
8/11/2020,USA,5454485,57745,2006931,171356,1403
8/12/2020,USA,5511990,57505,2011103,172748,1392
8/13/2020,USA,5567504,55514,2022364,174086,1338
8/14/2020,USA,5630315,62811,2040869,175204,1118
8/15/2020,USA,5686803,56488,2059082,176303,1099
8/16/2020,USA,5725484,38681,2068301,176986,683
8/17/2020,USA,5765622,40138,2054692,177671,685
